TSP,Budget,Algorithm,Run,BestLength,AvgTime(s),BKS,Dev(%),Segment,NumCities,MaxIterations,DistanceType,Seed
kroA200.tsp,fixed_1000,GSH-ACO,2,29406.0,38826.446872234344,29368.0,0.12939253609370743,large,200,1000,EUC_2D,20293415
kroA200.tsp,fixed_1000,GSH-ACO,3,29387.0,38007.609325408936,29368.0,0.06469626804685372,large,200,1000,EUC_2D,20293416
kroA200.tsp,fixed_1000,GSH-ACO,4,29375.0,38217.466374874115,29368.0,0.023835467175156635,large,200,1000,EUC_2D,20293417
kroA200.tsp,fixed_1000,GSH-ACO,5,29387.0,37676.62478232384,29368.0,0.06469626804685372,large,200,1000,EUC_2D,20293418
kroA200.tsp,fixed_1000,GSH-ACO,6,29394.0,38701.476006269455,29368.0,0.08853173522201035,large,200,1000,EUC_2D,20293419
kroA200.tsp,fixed_1000,GSH-ACO,7,29468.0,38400.73327803612,29368.0,0.340506673930809,large,200,1000,EUC_2D,20293420
kroA200.tsp,fixed_1000,GSH-ACO,8,29413.0,37331.39749789238,29368.0,0.15322800326886407,large,200,1000,EUC_2D,20293421
kroA200.tsp,fixed_1000,GSH-ACO,9,29375.0,38532.38529968262,29368.0,0.023835467175156635,large,200,1000,EUC_2D,20293422
kroA200.tsp,fixed_1000,GSH-ACO,10,29375.0,38300.80971622467,29368.0,0.023835467175156635,large,200,1000,EUC_2D,20293423
kroA200.tsp,segmented,GSH-ACO,1,29391.0,27842.66688156128,29368.0,0.07831653500408609,large,200,600,EUC_2D,20293414
kroA200.tsp,segmented,GSH-ACO,2,29448.0,27406.18903541565,29368.0,0.27240533914464726,large,200,600,EUC_2D,20293415
kroA200.tsp,segmented,GSH-ACO,3,29454.0,27383.251875400543,29368.0,0.2928357395804958,large,200,600,EUC_2D,20293416
kroA200.tsp,segmented,GSH-ACO,4,29443.0,27057.098623514175,29368.0,0.2553800054481068,large,200,600,EUC_2D,20293417
kroA200.tsp,segmented,GSH-ACO,5,29401.0,27605.922584295273,29368.0,0.11236720239716698,large,200,600,EUC_2D,20293418
kroA200.tsp,segmented,GSH-ACO,6,29456.0,27336.627024173737,29368.0,0.29964587305911194,large,200,600,EUC_2D,20293419
kroA200.tsp,segmented,GSH-ACO,7,29398.0,27594.314774513245,29368.0,0.10215200217924271,large,200,600,EUC_2D,20293420
kroA200.tsp,segmented,GSH-ACO,8,29398.0,27263.053570508957,29368.0,0.10215200217924271,large,200,600,EUC_2D,20293421
kroA200.tsp,segmented,GSH-ACO,9,29472.0,27631.974272727966,29368.0,0.3541269408880414,large,200,600,EUC_2D,20293422
kroA200.tsp,segmented,GSH-ACO,10,29394.0,27766.907477617264,29368.0,0.08853173522201035,large,200,600,EUC_2D,20293423
ts225.tsp,fixed_1000,GSH-ACO,1,126726.0,61857.88698554039,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303414
ts225.tsp,fixed_1000,GSH-ACO,2,126726.0,61378.239448070526,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303415
ts225.tsp,fixed_1000,GSH-ACO,3,126643.0,62134.42474985123,126643.0,0.0,large,225,1000,EUC_2D,20303416
ts225.tsp,fixed_1000,GSH-ACO,4,126643.0,61360.1707174778,126643.0,0.0,large,225,1000,EUC_2D,20303417
ts225.tsp,fixed_1000,GSH-ACO,5,126726.0,61014.09301543236,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303418
ts225.tsp,fixed_1000,GSH-ACO,6,126726.0,63141.100316524506,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303419
ts225.tsp,fixed_1000,GSH-ACO,7,126726.0,61852.079538822174,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303420
ts225.tsp,fixed_1000,GSH-ACO,8,126726.0,62014.21073627472,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303421
ts225.tsp,fixed_1000,GSH-ACO,9,126726.0,62038.267355918884,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303422
ts225.tsp,fixed_1000,GSH-ACO,10,126726.0,61092.46172571182,126643.0,0.06553856115221528,large,225,1000,EUC_2D,20303423
ts225.tsp,segmented,GSH-ACO,1,126726.0,41638.67807674408,126643.0,0.06553856115221528,large,225,600,EUC_2D,20303414
ts225.tsp,segmented,GSH-ACO,2,126726.0,42029.73877167702,126643.0,0.06553856115221528,large,225,600,EUC_2D,20303415
ts225.tsp,segmented,GSH-ACO,3,126643.0,41878.987817525864,126643.0,0.0,large,225,600,EUC_2D,20303416
ts225.tsp,segmented,GSH-ACO,4,126726.0,41274.173725128174,126643.0,0.06553856115221528,large,225,600,EUC_2D,20303417
ts225.tsp,segmented,GSH-ACO,5,126758.0,42469.42512845993,126643.0,0.09080644015065972,large,225,600,EUC_2D,20303418
ts225.tsp,segmented,GSH-ACO,6,126726.0,41089.6612637043,126643.0,0.06553856115221528,large,225,600,EUC_2D,20303419
ts225.tsp,segmented,GSH-ACO,7,126643.0,41277.38085627556,126643.0,0.0,large,225,600,EUC_2D,20303420
ts225.tsp,segmented,GSH-ACO,8,126726.0,42278.10067272186,126643.0,0.06553856115221528,large,225,600,EUC_2D,20303421
ts225.tsp,segmented,GSH-ACO,9,126726.0,42249.78028202057,126643.0,0.06553856115221528,large,225,600,EUC_2D,20303422
ts225.tsp,segmented,GSH-ACO,10,126726.0,35978.90135931969,126643.0,0.06553856115221528,large,225,600,EUC_2D,20303423
