instance,algorithm,run,seed,seed_status,best_length,bks,deviation_percent,archived_best_length,elapsed_seconds,segment,engine_mode,three_opt_max_iterations,record_provenance,correction_note
ulysses22.tsp,ACS,8,20272118,reconstructed_from_original_experiment_scripts,7087.0,7013.0,1.0551832311421645,7087.0,0.63,small,acs_end_seq,20.0,archived_run_record,
ulysses22.tsp,ACS,9,20272119,reconstructed_from_original_experiment_scripts,7083.0,7013.0,0.9981462997290746,7083.0,0.63,small,acs_end_seq,20.0,archived_run_record,
ulysses22.tsp,ACS,10,20272120,reconstructed_from_original_experiment_scripts,7087.0,7013.0,1.0551832311421645,7087.0,0.60,small,acs_end_seq,20.0,archived_run_record,
ulysses22.tsp,MMAS,1,20273111,reconstructed_from_original_experiment_scripts,7083.0,7013.0,0.9981462997290746,7083.0,0.61,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,2,20273112,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,0.62,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,3,20273113,reconstructed_from_original_experiment_scripts,7087.0,7013.0,1.0551832311421645,7087.0,0.71,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,4,20273114,reconstructed_from_original_experiment_scripts,7019.0,7013.0,0.08555539711963497,7019.0,0.71,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,5,20273115,reconstructed_from_original_experiment_scripts,7083.0,7013.0,0.9981462997290746,7083.0,0.69,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,6,20273116,reconstructed_from_original_experiment_scripts,7019.0,7013.0,0.08555539711963497,7019.0,0.69,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,7,20273117,reconstructed_from_original_experiment_scripts,7092.0,7013.0,1.126479395408527,7092.0,0.69,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,8,20273118,reconstructed_from_original_experiment_scripts,7083.0,7013.0,0.9981462997290746,7083.0,0.68,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,9,20273119,reconstructed_from_original_experiment_scripts,7126.0,7013.0,1.611293312419792,7126.0,0.67,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MMAS,10,20273120,reconstructed_from_original_experiment_scripts,7126.0,7013.0,1.611293312419792,7126.0,0.39,small,mmas,20.0,archived_run_record,
ulysses22.tsp,MSA-ACO,1,20253110,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,2,20253111,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,3,20253112,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,4,20253113,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,5,20253114,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,6,20253115,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,7,20253116,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,8,20253117,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,9,20253118,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
ulysses22.tsp,MSA-ACO,10,20253119,reconstructed_from_original_experiment_scripts,7013.0,7013.0,0.0,7013.0,,small,hybrid_v4_2,,archived_run_record,
bayg29.tsp,ACS,1,20282111,reconstructed_from_original_experiment_scripts,1636.0,1610.0,1.6149068322981366,1636.0,0.97,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,2,20282112,reconstructed_from_original_experiment_scripts,1654.0,1610.0,2.732919254658385,1654.0,1.07,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,3,20282113,reconstructed_from_original_experiment_scripts,1653.0,1610.0,2.670807453416149,1653.0,0.93,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,4,20282114,reconstructed_from_original_experiment_scripts,1646.0,1610.0,2.236024844720497,1646.0,0.84,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,5,20282115,reconstructed_from_original_experiment_scripts,1667.0,1610.0,3.540372670807453,1667.0,0.88,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,6,20282116,reconstructed_from_original_experiment_scripts,1649.0,1610.0,2.422360248447205,1649.0,0.91,small,acs_end_seq,20.0,archived_run_record,
bayg29.tsp,ACS,7,20282117,reconstructed_from_original_experiment_scripts,1661.0,1610.0,3.1677018633540373,1661.0,0.92,small,acs_end_seq,20.0,archived_run_record,
