protocol_version,suite,instance,n,distance_type,segment,variant,engine_mode,run,seed,config_hash,best_length,bks,deviation_percent,ga_best_length,path_length_evaluations,distance_lookups,ga_path_evaluations,solver_path_evaluations,three_opt_path_evaluations,tour_constructions,two_opt_calls,two_opt_move_evaluations,two_opt_improvements,three_opt_calls,three_opt_candidate_evaluations,three_opt_improvements,local_search_evaluations,ga_generations,preprocessing_seconds,initialization_seconds,solver_seconds,local_search_seconds,total_seconds,switch_iteration,switch_reason
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-ACO,hybrid_v4_2,15,20360916,00083bc347086e7a,26550,26524,0.0980244307042678,31436,38551,3292801476,2550,36001,0,36000,3000,101372832,120120,1200,480254583,15098,581627415,16,0.0369261000014376,2.63201750000007,2041.68119499998,1873.85722590017,2044.3512261,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,1,20360902,9b7068053b0b6aac,26655,26524,0.493892323933042,31479,38401,3331445464,2400,36001,0,36000,3000,100142086,120777,1200,487519495,15349,587661581,15,0.0272125999908894,2.11825910001062,2315.62705010001,2126.3638175001,2317.77629169999,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,2,20360903,9b7068053b0b6aac,26580,26524,0.211129543055346,31479,38401,3315197720,2400,36001,0,36000,3000,100987799,121866,1200,484247729,15550,585235528,15,0.0312367999868002,2.13408930000151,2272.87245940001,2086.53341639997,2275.0410917,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,3,20360904,9b7068053b0b6aac,26604,26524,0.301613632936209,31447,41551,3348416174,5550,36001,0,36000,3000,101313401,122339,1200,489488320,15567,590801721,36,0.0320813999860547,5.26610139998957,2302.92774760001,2117.14923779992,2308.22845379999,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,4,20360905,9b7068053b0b6aac,26565,26524,0.154576986879807,31365,40051,3317936846,4050,36001,0,36000,3000,102325853,124261,1200,483770964,15620,586096817,26,0.0347096999757923,3.93653830001131,2314.430937,2126.63978939984,2318.40410719998,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,5,20360906,9b7068053b0b6aac,26654,26524,0.490122153521339,31479,38401,3291880560,2400,36001,0,36000,3000,103034235,124472,1200,478997245,15266,582031480,15,0.023915500001749,2.35710039999685,2254.66463769999,2071.72838199988,2257.04878369998,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,6,20360907,9b7068053b0b6aac,26610,26524,0.324234655406424,31479,38401,3322070178,2400,36001,0,36000,3000,100616520,121997,1200,485640658,15571,586257178,15,0.0336720000195783,2.26421140000457,2230.90412639998,2050.87727819983,2233.20361180001,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,7,20360908,9b7068053b0b6aac,26624,26524,0.377017041170261,31086,42451,3397461172,6450,36001,0,36000,3000,101809879,122930,1200,497309001,15909,599118880,42,0.0303804000141099,6.13446590001695,2282.9417388,2101.28527699999,2289.108007,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,8,20360909,9b7068053b0b6aac,26580,26524,0.211129543055346,31750,40201,3379904624,4200,36001,0,36000,3000,102131855,122200,1200,494224509,15810,596356364,27,0.0320197000110056,3.9185451999947,2257.5111682,2078.79208149968,2261.46308400002,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,9,20360910,9b7068053b0b6aac,26655,26524,0.493892323933042,31354,40801,3386137096,4800,36001,0,36000,3000,102815881,124148,1200,494792237,15731,597608118,31,0.0315439999976661,4.50983510000515,2253.1192865,2075.03737740006,2257.6634893,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,10,20360911,9b7068053b0b6aac,26579,26524,0.207359372643643,31479,38401,3339309890,2400,36001,0,36000,3000,102735113,124476,1200,487101548,15645,589836661,15,0.0252932999865152,2.20509030000539,2240.58620189998,2062.15748719996,2242.8176674,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,11,20360912,9b7068053b0b6aac,26565,26524,0.154576986879807,31342,41701,3336044364,5700,36001,0,36000,3000,101523357,124372,1200,487282631,15413,588805988,37,0.023823999974411,5.4731732000073,2245.2056062,2064.86455219999,2250.7043142,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,12,20360913,9b7068053b0b6aac,26611,26524,0.328004825818127,31262,38701,3317549370,2700,36001,0,36000,3000,101074581,121736,1200,484574316,15224,585648897,17,0.0328245999990031,2.4664594999922,2343.68958760001,2151.55717719998,2346.19044949999,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,13,20360914,9b7068053b0b6aac,26637,26524,0.426029256522395,31479,38401,3390842986,2400,36001,0,36000,3000,103193581,124051,1200,495384752,15483,598578333,15,0.035238099982962,2.32278650000808,2448.22706270003,2250.50281929979,2450.58639710001,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,14,20360915,9b7068053b0b6aac,26669,26524,0.546674709696878,31497,41551,3243663734,5550,36001,0,36000,3000,102109448,123828,1200,471498882,14663,573608330,36,0.0335054000024684,5.86339610000141,2270.19146290002,2080.63437239986,2276.08949119999,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-fixed-switch,hybrid_v4_2,15,20360916,9b7068053b0b6aac,26565,26524,0.154576986879807,31436,38551,3344939002,2550,36001,0,36000,3000,102364843,122580,1200,488282830,15621,590647673,16,0.0360548000026029,2.55540410001413,1922.9504571,1764.51617609974,1925.5429802,105,fixed_control
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,1,20360902,3f93938b8d98278c,26653,26524,0.486351983109637,31479,38401,4407613182,2400,36001,0,36000,0,0,0,1200,733642172,63249,733642172,15,0.0249779000005219,2.07109909999417,2893.0526536,2708.1862768998,2895.15317130001,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,2,20360903,3f93938b8d98278c,26650,26524,0.475041471874529,31479,38401,4148984526,2400,36001,0,36000,0,0,0,1200,690537396,64011,690537396,15,0.0304524000093807,2.1207899999863,2697.2256146,2511.83659939989,2699.38345309999,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,3,20360904,3f93938b8d98278c,26697,26524,0.652239481224551,31447,41551,4360235418,5550,36001,0,36000,0,0,0,1200,725667128,63122,725667128,36,0.0327659000176936,5.54369449999649,2847.0574847,2662.15824650016,2852.63742090002,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,4,20360905,3f93938b8d98278c,26661,26524,0.516513346403257,31365,40051,4199252286,4050,36001,0,36000,0,0,0,1200,698874106,60176,698874106,26,0.0313729000044987,4.00129610000295,2766.1235673,2579.73215059974,2770.16044389998,132,entropy_trigger
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,5,20360906,3f93938b8d98278c,26649,26524,0.471271301462826,31479,38401,4318265424,2400,36001,0,36000,0,0,0,1200,718750879,61809,718750879,15,0.0308761000051163,2.40902270001243,2727.48106250001,2547.80721400006,2729.9222337,135,forced_at_window_end
protocol-1.1,ablation,kroA150.tsp,150,EUC_2D,medium,MSA-no-2opt,hybrid_v4_2,6,20360907,3f93938b8d98278c,26681,26524,0.59191675463731,31479,38401,4237797462,2400,36001,0,36000,0,0,0,1200,705339552,65266,705339552,15,0.0307193000044208,2.1961398999847,2712.9376297,2532.98131959996,2715.16534040001,135,forced_at_window_end
