tag,instance,algorithm,bks,reported_best,reported_deviation_percent,source
27,kroB200.tsp,ACS,29437,32085,9,Manuscript 35-instance main-results table
27,kroB200.tsp,MMAS,29437,32803,11.43,Manuscript 35-instance main-results table
27,kroB200.tsp,MSA-ACO,29437,29559,0.41,Manuscript 35-instance main-results table
28,gr202.tsp,ACS,40160,44457,10.70,Manuscript 35-instance main-results table
28,gr202.tsp,MMAS,40160,43624,8.63,Manuscript 35-instance main-results table
28,gr202.tsp,MSA-ACO,40160,40648,1.22,Manuscript 35-instance main-results table
29,ts225.tsp,ACS,126643,131689,3.98,Manuscript 35-instance main-results table
29,ts225.tsp,MMAS,126643,131576,3.90,Manuscript 35-instance main-results table
29,ts225.tsp,MSA-ACO,126643,126643,0,Manuscript 35-instance main-results table
30,pr226.tsp,ACS,80369,85668,6.59,Manuscript 35-instance main-results table
30,pr226.tsp,MMAS,80369,84004,4.52,Manuscript 35-instance main-results table
30,pr226.tsp,MSA-ACO,80369,80444,0.09,Manuscript 35-instance main-results table
31,gil262.tsp,ACS,2378,2604,9.50,Manuscript 35-instance main-results table
31,gil262.tsp,MMAS,2378,2556,7.49,Manuscript 35-instance main-results table
31,gil262.tsp,MSA-ACO,2378,2394,0.67,Manuscript 35-instance main-results table
32,pr264.tsp,ACS,49135,52038,5.91,Manuscript 35-instance main-results table
32,pr264.tsp,MMAS,49135,52282,6.40,Manuscript 35-instance main-results table
32,pr264.tsp,MSA-ACO,49135,49189,0.11,Manuscript 35-instance main-results table
33,a280.tsp,ACS,2579,2994,16.09,Manuscript 35-instance main-results table
33,a280.tsp,MMAS,2579,2902,12.52,Manuscript 35-instance main-results table
33,a280.tsp,MSA-ACO,2579,2600,0.81,Manuscript 35-instance main-results table
34,pr299.tsp,ACS,48191,53779,11.60,Manuscript 35-instance main-results table
34,pr299.tsp,MMAS,48191,54404,12.89,Manuscript 35-instance main-results table
34,pr299.tsp,MSA-ACO,48191,48454,0.55,Manuscript 35-instance main-results table
35,lin318.tsp,ACS,42029,45877,9.16,Manuscript 35-instance main-results table
35,lin318.tsp,MMAS,42029,46509,10.66,Manuscript 35-instance main-results table
35,lin318.tsp,MSA-ACO,42029,42522,1.17,Manuscript 35-instance main-results table
