Configuration,Instance,Timing runs,Total time mean (s),Total time SD (s),Local-search time mean (s),Local-search time SD (s)
MSA-ACO,ulysses22,5,3.6652014999999665,0.14140821025707562,2.1825929800001176,0.06880527993322326
MSA-ACO,st70,5,33.90587138000001,2.422541621633564,25.099925320001603,2.3076867356845248
MSA-ACO,kroC100,5,139.91746823999966,6.0617476190795365,107.61301050001421,5.654735653510843
MSA-ACO,kroA150,5,1003.4966901800005,28.465036786728454,932.5756805600053,26.34307266938751
MSA-no-GA-init,ulysses22,5,3.4168499399999748,0.2513999435212324,2.344726539999283,0.2029605243924478
MSA-no-GA-init,st70,5,32.90375157999997,1.8362866469516308,25.384222819998286,1.8479135174044894
MSA-no-GA-init,kroC100,5,139.78713111999951,1.9859602168730766,108.38966534000028,2.110361491864365
MSA-no-GA-init,kroA150,5,1004.2432425600003,32.07546105101453,934.4814394999623,30.58708507311979
MSA-fixed-switch,ulysses22,5,3.7592401200000496,0.42089523453717825,2.223223919999873,0.16127549611474934
MSA-fixed-switch,st70,5,35.95627708000002,1.4307178387442143,27.21270077999934,1.5039435285061657
MSA-fixed-switch,kroC100,5,150.61274841999983,8.449512459237527,118.54785807997723,8.131861509559622
MSA-fixed-switch,kroA150,5,995.269441019999,21.533205045354254,924.1757234199983,19.48129573718369
MSA-no-rank,ulysses22,5,3.752937699999893,0.4690640247163917,2.216800279999461,0.2994722325536827
MSA-no-rank,st70,5,32.54547013999991,1.911009094622463,23.68768318000075,2.1897360975877866
MSA-no-rank,kroC100,5,148.01503188000044,6.596048874555367,115.50993703999738,6.545468963676409
MSA-no-rank,kroA150,5,948.3056540600003,45.7052370784253,876.5878326200261,42.479127565196784
MSA-no-2opt,ulysses22,5,3.542395679999936,0.20256070459061523,2.046472200001335,0.10750382234993426
MSA-no-2opt,st70,5,35.27356297999986,1.1620642339152094,26.64801070000194,0.9965768609902108
MSA-no-2opt,kroC100,5,171.6111079000002,16.816808144993793,139.1028407800117,16.790293216208948
MSA-no-2opt,kroA150,5,1207.98866174,29.80696749791247,1137.733133460005,29.53249974641553
MSA-no-3opt,ulysses22,5,1.8339158400000088,0.3894914751144722,0.2644304600008581,0.056064050760020745
MSA-no-3opt,st70,5,12.550804000000152,0.3625109132518946,3.9786302000004072,0.3262616135252742
MSA-no-3opt,kroC100,5,44.866514960000316,2.2043389369753603,12.034883100006482,1.2561443352180723
MSA-no-3opt,kroA150,5,205.2312069000007,1.4160170614425618,135.4849636000021,1.41598544434896
MSA-nonadaptive-3opt,ulysses22,5,3.6752837,0.39110897637018566,2.154038400000354,0.12578267409335672
MSA-nonadaptive-3opt,st70,5,32.91741859999993,3.3612430026396996,24.205460880003738,2.9434639443165422
MSA-nonadaptive-3opt,kroC100,5,139.67485326000025,5.226969655257545,106.79454032000413,5.149257748434542
MSA-nonadaptive-3opt,kroA150,5,973.4657460000002,14.32332763808127,903.5363860000027,14.128766296353144
MSA-no-scale-adaptation,ulysses22,5,3.753580620000048,0.3292140202036081,2.233695200000329,0.16105959556458432
MSA-no-scale-adaptation,st70,5,34.35689946000021,2.1776616079780338,25.495843040000455,2.2178946813487075
MSA-no-scale-adaptation,kroC100,5,145.0362828000005,8.274095345560164,112.2381330399985,8.329655176626677
MSA-no-scale-adaptation,kroA150,5,609.2955225799975,5.302021122331628,539.7342100799724,5.273085784184467
