Instance,Method,Runs,Distance-query budget,Final length mean,SD,Best,Distance lookups (10^6),End-to-end time (s)
ulysses22,ACS-based+LS,15,6500000,7013,0,7013,6.5184568,3.1344064066613404
ulysses22,MMAS-based+LS,15,6500000,7013,0,7013,6.523106266666667,3.015550266668045
ulysses22,MSA-ACO,15,6500000,7013,0,7013,6.5188192,3.4174272666762895
st70,ACS-based+LS,15,54000000,678.0666666666667,2.5764501233470902,675,54.15866533333334,23.26238450667588
st70,MMAS-based+LS,15,54000000,677.8,2.0770858707058104,675,54.408994533333335,20.634861139999703
st70,MSA-ACO,15,54000000,676.1333333333333,1.4573295865416047,675,54.2403188,21.893067173326077
kroC100,ACS-based+LS,15,300000000,20754.333333333332,6.172133998483676,20749,300.4924348,119.22890119999259
kroC100,MMAS-based+LS,15,300000000,20749.533333333333,1.4074631010979937,20749,301.08330173333337,105.50347031333949
kroC100,MSA-ACO,15,300000000,20749,0,20749,300.37717346666665,110.6299611999925
kroA150,ACS-based+LS,15,2850000000,26703.733333333334,57.309269590114134,26614,2854.7122868,884.1175401533294
kroA150,MMAS-based+LS,15,2850000000,26665.933333333334,37.05105872145832,26605,2856.327183733333,880.1354910333291
kroA150,MSA-ACO,15,2850000000,26651.133333333335,50.985805681114634,26563,2855.4657230666667,879.9390135400075
