instance,algorithm,reported_best,archived_minimum,reconciled_minimum,status
pr264.tsp,ACS,52038.0,52038.0,52038.0,MATCH
pr264.tsp,MMAS,52282.0,52282.0,52282.0,MATCH
pr264.tsp,MSA-ACO,49189.0,49189.0,49189.0,MATCH
a280.tsp,ACS,2994.0,2994.0,2994.0,MATCH
a280.tsp,MMAS,2902.0,2902.0,2902.0,MATCH
a280.tsp,MSA-ACO,2600.0,2600.0,2600.0,MATCH
pr299.tsp,ACS,53779.0,53779.0,53779.0,MATCH
pr299.tsp,MMAS,54404.0,54404.0,54404.0,MATCH
pr299.tsp,MSA-ACO,48454.0,48454.0,48454.0,MATCH
lin318.tsp,ACS,45877.0,45877.0,45877.0,MATCH
lin318.tsp,MMAS,46509.0,46509.0,46509.0,MATCH
lin318.tsp,MSA-ACO,42522.0,42522.0,42522.0,MATCH
